id,name,currency,created_at,updated_at
1,"{""en"": ""Россия"", ""ru"": ""Россия""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
2,"{""en"": ""Украина"", ""ru"": ""Украина""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
3,"{""en"": ""Беларусь"", ""ru"": ""Беларусь""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
4,"{""en"": ""Молдова"", ""ru"": ""Молдова""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
5,"{""en"": ""Грузия"", ""ru"": ""Грузия""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
6,"{""en"": ""Армения"", ""ru"": ""Армения""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
7,"{""en"": ""Азербайджан"", ""ru"": ""Азербайджан""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
8,"{""en"": ""Казахстан"", ""ru"": ""Казахстан""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
9,"{""en"": ""Узбекистан"", ""ru"": ""Узбекистан""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
10,"{""en"": ""Таджикистан"", ""ru"": ""Таджикистан""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
11,"{""en"": ""Кыргызстан"", ""ru"": ""Кыргызстан""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
12,"{""en"": ""Туркменистан"", ""ru"": ""Туркменистан""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
13,"{""en"": ""Латвия"", ""ru"": ""Латвия""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
14,"{""en"": ""Литва"", ""ru"": ""Литва""}",RUB,"2018-07-03 16:30:05","2018-07-03 16:30:05"
15,"{""en"": ""Эстония"", ""ru"": ""Эстония""}",RUB,"2018-07-03 16:30:06","2018-07-03 16:30:06"
16,"{""en"": ""Абхазия"", ""ru"": ""Абхазия""}",RUB,"2018-07-03 16:30:06","2018-07-03 16:30:06"
17,"{""en"": ""Южная Осетия"", ""ru"": ""Южная Осетия""}",RUB,"2018-07-03 16:30:06","2018-07-03 16:30:06"
18,"{""en"": ""Дальнее зарубежье"", ""ru"": ""Дальнее зарубежье""}",RUB,"2018-07-03 16:30:06","2018-07-03 16:30:06"
